liquidates_datetime,liquidates_amountUSD
2021-07-02,2228.8098512075103
2021-07-05,21862.096450176225
2021-07-06,202841.75322739175
2021-07-08,1317.5104942188052
2021-07-13,4946.100306547898
2021-07-19,106288.7326419527
2021-07-20,3619.9361570467654
2021-07-24,226167.2792235358
2021-07-25,1180417.8512240564
2021-07-29,168734.17365370417
2021-07-30,10195.063614655246
2021-07-31,456818.2615849102
2021-08-11,311026.02653436805
2021-08-14,93548.3752133036
2021-08-15,26757.26211746849
2021-08-16,13574.058275912088
2021-08-17,36707.002835181134
2021-08-20,1763.4123185531037
2021-08-28,13073.92205100883
2021-08-30,4531.964529132619
2021-08-31,18369.62437158128
2021-09-10,3259.19972977249
2021-09-17,1654084.6159678989
2021-09-18,124913.42312546071
2021-09-20,135659.58900369314
2021-09-24,251016.96640694802
2021-09-26,72065.92620341278
2021-10-01,72223.12505169264
2021-10-05,5706.442768609371
2021-10-06,287797.60995228123
2021-10-14,2523987.7341762707
2021-10-15,25617713.06780323
2021-10-16,2389788.4613419254
2021-10-17,2655737.1194358123
2021-10-18,405046.78973035404
2021-10-19,1312.5006889124766
2021-10-21,28345.321284753234
2021-10-22,16798.770417547308
2021-10-23,9492.814054320315
2021-10-26,125712.1081884489
2021-10-29,72611.23407222297
2021-11-03,58036.82706836249
2021-11-04,921719.4596754783
2021-11-05,108098.82817972539
2021-11-06,672139.6864850643
2021-11-10,43416.210395378155
2021-11-15,250903.16602411674
2021-11-16,253169.44771598623
2021-11-17,406740.98536780674
2021-11-18,43640.725005858825
2021-11-21,156061.86893164297
2021-11-22,27947.047501772777
2021-11-23,256977.19300517678
2021-11-25,8627.69974980309
2021-11-26,1213397.9598178728
2021-11-27,2516.0084341060488
2021-12-01,56156.93147063862
2021-12-02,136486.3914262901
2021-12-03,4362455.339793081
2021-12-04,2175779.5074056624
2021-12-05,4774.728073550557
2021-12-06,228322.69350626212
2021-12-08,1672146.538952723
2021-12-09,11763.687688809474
2021-12-10,10114.676491798522
2021-12-11,30778.236704985993
2021-12-12,194788.90588239668
2021-12-13,1292.3543450907894
2021-12-14,4930486.982453762
2021-12-15,105924.56544332058
2021-12-17,10478376.681500876
2021-12-18,54394.61380825528
2021-12-19,935.7657292636401
2021-12-26,134377.02382206987
2021-12-27,5524.233066688475
2021-12-29,49856.21383671604
2021-12-30,74109.55728430275
2021-12-31,28544.94753358954
2022-01-01,5700.908795690104
2022-01-06,19443.166703609884
2022-01-07,1976680.9178776823
2022-01-08,633917.9650621604
2022-01-10,31869501.69274089
2022-01-11,16158.340789851381
2022-01-12,10897.671784151915
2022-01-13,6680.773211956339
2022-01-15,8810.984965451236
2022-01-16,39895639.385805205
2022-01-17,254717.2254439776
2022-01-18,2149542.7015179
2022-01-19,23840.726898028166
2022-01-20,425527.55813499953
2022-01-21,4136185.4052134254
2022-01-22,4705942.271794749
2022-01-23,31870.58376957626
2022-01-24,1013790.491758257
2022-01-30,9440.45712829924
2022-01-31,3095.704334628177
2022-02-03,11004.233839048715
2022-02-04,1402.4932830475007
2022-02-05,10759.926230128649
2022-02-06,11946.311571320128
2022-02-08,5881.8911529314155
2022-02-09,30712.69250468381
2022-02-10,6533.403136699397
2022-02-11,42779.72780257906
2022-02-12,13324.14365359131
2022-02-13,4551.942679776798
2022-02-14,1116.4627373318062
2022-02-15,3359.865570115675
2022-02-17,364287.5221185073
2022-02-18,61845.347580699185
2022-02-19,492506.05852507445
2022-02-20,39188.25804031444
2022-02-21,15727.50767387375
2022-02-22,8217.643102750962
2022-02-23,266026.27111635095
2022-02-24,466261.04765788047
2022-02-25,14437.978962780962
2022-02-26,44455.04668606979
2022-02-27,129410.18382752349
2022-02-28,462966.66634142085
2022-03-01,1623.9834053906434
2022-03-02,1601.6020183237397
2022-03-03,537765.1554150353
2022-03-04,225279.70696609127
2022-03-05,120771.61271121773
2022-03-06,320449.6812584819
2022-03-07,109050.40250727463
2022-03-08,2208.2046212001005
2022-03-10,1638.7993331684238
2022-03-11,11397.917747352814
2022-03-12,23224.239284776453
2022-03-13,207767.25164484247
2022-03-14,38658.76404630255
2022-03-15,22101.50532420529
2022-03-16,7177.397506799343
2022-03-17,1150.0175350487611
2022-03-18,29575.28385174894
2022-03-19,2307.84204705662
2022-03-20,6516.640710369285
2022-03-21,1150.0425547778452
2022-03-24,699.9001835515611
2022-03-25,1871.2025367927195
2022-03-26,1183.2814503807163
2022-03-27,5421.230294196809
2022-03-28,126033.04688882914
2022-03-29,16952.406215464925
2022-03-30,110803.07751357718
2022-03-31,19859.229232339814
2022-04-04,125284.97457710256
2022-04-06,5.27082
2022-04-07,1308.0817339533721
2022-04-08,11959.565960888649
2022-04-10,113513.16574252363
2022-04-11,96067.02249795306
2022-04-14,86621.81664816661
2022-04-17,1746.5098459868166
2022-04-20,84058.2167214842
2022-04-21,74955.88656151733
2022-04-24,67693.12530171081
2022-04-28,66244.38795952463
2022-04-29,6805.5247777708655
2022-04-30,363578.9123342787
2022-05-01,2489.5976132804403
2022-05-02,7306.628414517358
2022-05-03,1248.8031412248035
2022-05-04,87539.68150776623
2022-05-05,203897.92742825384
2022-05-06,107261.03268436667
2022-05-07,50911.95482626288
2022-05-08,85828.87469323174
2022-05-09,46219.08647226023
2022-05-10,2410.51142314575
2022-05-11,465108.4074228278
2022-05-12,91757.04109506862
2022-05-13,12592.71783341895
2022-05-14,4655.307929956218
2022-05-15,2511.479880319438
2022-05-17,1189.2615206153175
2022-05-18,2282.5995459409764
2022-05-22,3619.846642471194
2022-05-23,561.4538189070927
2022-05-26,1947.3793993314443
2022-05-27,992.1741811657571
2022-05-28,1028.1694053416693
2022-05-29,718.6856727251354
2022-06-10,981.4565243238573
2022-06-11,19336.94395991171
2022-06-12,37735.74143404102
2022-06-13,63621.67908946984
2022-06-14,8414.944440011765
2022-06-15,1986.7154482638507
2022-06-16,1891.0839807301509
2022-06-18,8553.959912815419
2022-07-02,501.4907541761771
2022-07-09,701.2905320842965
2022-07-17,1345.221455863161
2022-07-20,1403.891814070448
2022-07-23,1683.702623926951
2022-07-27,1168.297097279617
2022-07-29,11784.797184970028
2022-07-30,28759.09234428052
2022-07-31,754.968590658443
2022-08-01,321.49524075450927
2022-08-02,2379.5434982757915
2022-08-03,576.0714404672699
2022-08-04,740.8920443191737
2022-08-05,801.3552076378496
2022-08-06,2609.8963295163053
2022-08-07,365.1796217163584
2022-08-09,349.654100992472
2022-08-10,3252.3615081984653
2022-08-12,8874.788768384735
2022-08-13,3389.399898955056
2022-08-14,240.4662236839012
2022-08-15,1286.2217564281136
2022-08-16,8143.833853368227
2022-08-17,1239.143745724228
2022-08-19,1371.271966337867
2022-08-20,1326.4652650971823
2022-08-21,731.6541587671908
2022-08-22,869.2079034007896
2022-08-23,11747.296348542972
2022-08-26,3987.9753875150805
2022-08-27,1317.1644104955312
2022-08-28,150.52686957815612
2022-09-03,182.03611265224396
2022-09-05,2308.773615480789
2022-09-06,9989.116235620517
2022-09-07,4589.9440736392435
2022-09-10,188.2460769418172
2022-09-12,645.1763443782605
2022-09-13,3451.6869736460903
2022-09-14,2769.121782724559
2022-09-15,25953.60313562878
2022-09-16,1582.11022479018
2022-09-17,865.8747398716192
2022-09-18,10688.12611480517
2022-09-19,705.835439498007
2022-09-20,2059.2871144235046
2022-09-21,415.09671104713294
2022-09-24,770.9903604072359
2022-10-02,172.63480398972382
2022-10-07,96.52148105392132
2022-10-13,10448.773210411622
2022-10-18,4661.119007779887
2022-10-22,805.1890871575841
